RelativeStrength,CmeRadius,DeltaOrientation,ApexCoeff,Helicity,bgRunIdx,realization
0.62375,0.36625,28.125,1.0559375,1.0,15.0,[6]
1.79375,0.32375,-34.875,1.0334375,1.0,15.0,[4]
1.66625,0.60625,-38.925,0.9753125,1.0,15.0,[6]
1.11875,0.69375,39.375,1.2115625,1.0,15.0,[6]
1.80125,0.43875,11.475,1.2284375,-1.0,15.0,[6]
1.83875,0.67625,-33.525,1.1871875,-1.0,15.0,[4]
1.33625,0.31125,41.175,1.1065625,-1.0,15.0,[4]
1.69625,0.40375,-10.125,1.1159375,-1.0,15.0,[4]
1.95125,0.70375,22.275,1.0315625,1.0,15.0,[4]
1.88375,0.33125,31.725,1.2415625,1.0,15.0,[4]
1.58375,0.37375,43.875,0.9153125,1.0,17.0,[5]
1.23125,0.57625,-27.225,0.9828125,1.0,17.0,[11]
0.56375,0.30625,18.225,0.9209375,1.0,17.0,[5]
0.83375,0.54125,-38.475,1.2246875,1.0,17.0,[5]
0.55625,0.77625,1.125,1.2340625,1.0,17.0,[11]
0.96125,0.52875,-0.225,0.9396875,1.0,17.0,[5]
0.90875,0.74125,-6.075,1.1965625,-1.0,17.0,[5]
0.61625,0.75875,15.075,1.0278125,-1.0,17.0,[11]
0.71375,0.55125,21.375,1.0146875,1.0,17.0,[5]
0.93125,0.41375,-41.625,0.8815625,-1.0,17.0,[11]
1.17875,0.79125,-13.275,1.1178125,-1.0,17.0,[5]
1.05875,0.69875,28.575,0.8853125,-1.0,17.0,[11]
1.89875,0.49875,34.875,0.9940625,1.0,17.0,[11]
0.84125,0.68125,10.125,0.9715625,1.0,17.0,[5]
0.58625,0.50625,-35.775,0.9284375,-1.0,17.0,[11]
0.69875,0.64125,37.125,1.1215625,-1.0,17.0,[5]
0.66125,0.33875,-31.725,1.0053125,1.0,17.0,[5]
0.81125,0.37625,-11.925,1.0503125,-1.0,17.0,[11]
1.40375,0.79375,12.825,0.9303125,1.0,17.0,[11]
1.11125,0.62625,24.525,1.1853125,1.0,17.0,[5]
1.24625,0.44875,4.725,0.9659375,-1.0,17.0,[11]
0.99875,0.59125,-15.075,1.2490625,1.0,17.0,[5]
1.35125,0.38125,-17.775,1.1571875,1.0,17.0,[11]
1.36625,0.61125,31.275,1.0671875,-1.0,17.0,[11]
1.47875,0.41625,25.425,1.0409375,1.0,17.0,[5]
1.82375,0.47375,-1.575,1.1365625,1.0,17.0,[5]
1.74125,0.34875,15.525,1.2265625,1.0,17.0,[5]
1.62875,0.76125,27.225,1.1478125,-1.0,17.0,[11]
1.55375,0.53875,10.575,1.2059375,-1.0,17.0,[5]
1.53125,0.30375,-7.425,1.0728125,1.0,17.0,[11]
1.50875,0.71125,-0.675,0.9978125,-1.0,17.0,[11]
1.68875,0.48875,20.925,0.9040625,-1.0,17.0,[11]
1.70375,0.64625,-7.875,1.1684375,-1.0,17.0,[5]
1.91375,0.60125,-4.275,0.8778125,-1.0,17.0,[11]
1.77125,0.39625,-21.825,0.9378125,-1.0,17.0,[5]
1.80875,0.72875,-38.025,0.9228125,1.0,17.0,[11]
1.64375,0.43625,-30.825,1.0784375,-1.0,17.0,[11]
1.03625,0.46125,44.775,1.0896875,-1.0,17.0,[5]
1.94375,0.52375,-39.825,1.1271875,-1.0,17.0,[5]
1.99625,0.65625,19.125,0.9528125,-1.0,17.0,[11]
1.65875,0.75375,19.575,1.0128125,1.0,18.0,[6]
0.79625,0.41125,-5.625,0.9171875,1.0,18.0,[4]
0.72875,0.74625,-44.325,1.0615625,-1.0,18.0,[6]
0.87125,0.68875,-35.325,0.9640625,-1.0,18.0,[6]
0.51125,0.63375,-9.675,1.1890625,-1.0,18.0,[6]
0.77375,0.56625,25.875,1.0371875,-1.0,18.0,[4]
1.20125,0.53625,42.525,1.0953125,1.0,18.0,[4]
0.85625,0.33625,14.625,1.0709375,-1.0,18.0,[6]
0.66875,0.49125,4.275,1.1440625,-1.0,18.0,[6]
0.63125,0.70875,-26.775,1.2359375,-1.0,18.0,[4]
1.98125,0.76875,2.025,1.1834375,-1.0,18.0,[4]
0.97625,0.58875,-29.025,1.0990625,-1.0,18.0,[6]
0.75875,0.30125,-40.275,1.1196875,1.0,18.0,[6]
1.06625,0.40125,-24.975,1.1928125,1.0,18.0,[6]
1.35875,0.57125,15.975,1.2378125,-1.0,18.0,[6]
1.08125,0.79625,5.175,0.9059375,-1.0,18.0,[4]
1.29125,0.36875,37.575,1.2228125,1.0,18.0,[6]
0.54125,0.37875,2.925,1.0034375,1.0,18.0,[6]
1.07375,0.66125,32.175,1.1609375,-1.0,18.0,[4]
1.16375,0.68375,-8.775,1.0653125,1.0,18.0,[4]
1.31375,0.43375,-43.425,1.0428125,1.0,18.0,[6]
1.41875,0.36375,-23.625,0.8834375,-1.0,18.0,[4]
1.38125,0.71375,-31.275,0.9134375,1.0,18.0,[6]
1.51625,0.35375,23.625,0.9790625,1.0,18.0,[6]
1.34375,0.73625,33.975,0.9546875,-1.0,18.0,[4]
1.47125,0.48625,30.375,1.0859375,-1.0,18.0,[4]
1.65125,0.32125,-2.025,1.2040625,-1.0,18.0,[6]
1.56125,0.51375,-11.025,0.9359375,-1.0,18.0,[4]
1.45625,0.65375,-42.075,1.2171875,1.0,18.0,[4]
1.63625,0.55375,6.525,0.8759375,1.0,18.0,[6]
1.67375,0.59875,38.925,1.1290625,-1.0,18.0,[4]
1.75625,0.71625,-20.025,1.1421875,-1.0,18.0,[4]
1.87625,0.64875,0.225,0.9584375,1.0,18.0,[6]
1.81625,0.52625,8.775,1.1121875,-1.0,18.0,[6]
1.85375,0.45875,38.025,1.0484375,1.0,18.0,[4]
1.71875,0.42625,26.325,1.1759375,1.0,18.0,[4]
1.42625,0.58375,-4.725,1.0259375,1.0,18.0,[4]
1.90625,0.31625,-22.275,1.0878125,1.0,18.0,[4]
1.22375,0.46625,-18.225,0.9490625,1.0,18.0,[4]
0.95375,0.40625,40.725,0.9865625,-1.0,18.0,[6]
0.54875,0.59625,-17.325,1.1140625,1.0,19.0,[9]
1.61375,0.44125,40.275,1.0296875,1.0,19.0,[5]
1.93625,0.70625,-29.475,1.1028125,1.0,19.0,[5]
0.60125,0.36125,-2.925,1.1553125,-1.0,19.0,[9]
1.21625,0.50125,14.175,1.0596875,1.0,19.0,[9]
1.27625,0.66375,-1.125,1.2003125,1.0,19.0,[5]
1.17125,0.35125,-43.875,0.9003125,1.0,19.0,[5]
0.74375,0.49625,-11.475,0.9078125,1.0,19.0,[9]
1.02875,0.62125,12.375,1.1084375,-1.0,19.0,[5]
0.68375,0.31375,-19.575,0.9340625,-1.0,19.0,[5]
0.86375,0.69625,20.475,1.1496875,1.0,19.0,[9]
0.99125,0.51625,-22.725,1.1815625,-1.0,19.0,[5]
1.04375,0.41875,-8.325,1.0203125,1.0,19.0,[9]
0.57875,0.74375,8.325,0.9471875,-1.0,19.0,[9]
0.94625,0.78875,-18.675,0.8890625,1.0,19.0,[5]
1.14875,0.73125,-25.425,1.2453125,1.0,19.0,[9]
1.86875,0.42875,11.925,0.8946875,1.0,19.0,[5]
0.84875,0.39125,-34.425,1.0934375,1.0,19.0,[9]
1.19375,0.63875,-15.975,0.9603125,-1.0,19.0,[9]
0.67625,0.53375,29.025,1.2134375,1.0,19.0,[5]
1.30625,0.75125,43.425,1.1665625,-1.0,19.0,[5]
0.64625,0.67375,-30.375,1.0446875,-1.0,19.0,[9]
1.39625,0.55625,-9.225,1.0915625,-1.0,19.0,[9]
1.10375,0.34125,6.975,0.9846875,-1.0,19.0,[5]
1.59125,0.69125,-6.975,0.8984375,-1.0,19.0,[9]
1.44125,0.38375,20.025,0.9415625,1.0,19.0,[5]
0.81875,0.30875,32.625,1.0240625,1.0,19.0,[5]
1.00625,0.56375,38.475,0.9734375,1.0,19.0,[9]
1.56875,0.48375,-28.125,1.2321875,-1.0,19.0,[9]
1.71125,0.57375,0.675,1.0390625,1.0,19.0,[9]
1.50125,0.50875,24.075,1.1346875,-1.0,19.0,[5]
1.68125,0.72625,16.425,1.0821875,-1.0,19.0,[5]
1.48625,0.61375,-24.525,0.9246875,1.0,19.0,[9]
0.78125,0.72125,-3.825,1.0071875,1.0,19.0,[9]
1.95875,0.45125,35.775,1.2190625,-1.0,19.0,[5]
1.77875,0.47625,-39.375,1.0690625,1.0,19.0,[9]
1.78625,0.77375,23.175,1.1909375,1.0,19.0,[9]
1.84625,0.34375,30.825,1.1459375,1.0,19.0,[5]
0.50375,0.39875,17.325,1.2396875,1.0,19.0,[5]
1.97375,0.37125,-20.925,0.9959375,1.0,19.0,[5]
