selected run IDs = 1-100
#START
ID        params
1	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.5473 	 PoyntingFluxPerBSi=4.418171e+05	 LperpTimesSqrtBSi=2.319600e+05 	 realization=[1] 
53	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.3039 	 PoyntingFluxPerBSi=4.244076e+05	 LperpTimesSqrtBSi=2.678160e+05 	 realization=[1] 
54	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.3243 	 PoyntingFluxPerBSi=3.617333e+05	 LperpTimesSqrtBSi=1.692120e+05 	 realization=[2] 
55	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.4266 	 PoyntingFluxPerBSi=5.079733e+05	 LperpTimesSqrtBSi=6.164400e+04 	 realization=[3] 
56	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.4777 	 PoyntingFluxPerBSi=4.557448e+05	 LperpTimesSqrtBSi=2.242766e+05 	 realization=[6] 
57	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.4879 	 PoyntingFluxPerBSi=5.880571e+05	 LperpTimesSqrtBSi=1.628091e+05 	 realization=[9] 
58	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.5084 	 PoyntingFluxPerBSi=3.199505e+05	 LperpTimesSqrtBSi=1.820177e+05 	 realization=[11]
59	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.4163 	 PoyntingFluxPerBSi=6.124305e+05	 LperpTimesSqrtBSi=2.422046e+05 	 realization=[2] 
60	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.5799 	 PoyntingFluxPerBSi=3.478057e+05	 LperpTimesSqrtBSi=1.423200e+05 	 realization=[3] 
61	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.6106 	 PoyntingFluxPerBSi=6.785867e+05	 LperpTimesSqrtBSi=2.037874e+05 	 realization=[5] 
62	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.5492 	 PoyntingFluxPerBSi=4.975276e+05	 LperpTimesSqrtBSi=3.219086e+04 	 realization=[6] 
63	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.5901 	 PoyntingFluxPerBSi=4.000343e+05	 LperpTimesSqrtBSi=2.370823e+05 	 realization=[7] 
64	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.5390 	 PoyntingFluxPerBSi=3.791429e+05	 LperpTimesSqrtBSi=7.188857e+04 	 realization=[9] 
65	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.6310 	 PoyntingFluxPerBSi=4.069981e+05	 LperpTimesSqrtBSi=1.077446e+05 	 realization=[11]
66	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.6413 	 PoyntingFluxPerBSi=4.870819e+05	 LperpTimesSqrtBSi=2.550103e+05 	 realization=[12]
67	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.6515 	 PoyntingFluxPerBSi=3.060229e+05	 LperpTimesSqrtBSi=1.589674e+05 	 realization=[1] 
68	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.6719 	 PoyntingFluxPerBSi=6.507314e+05	 LperpTimesSqrtBSi=2.921469e+05 	 realization=[3] 
69	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.1607 	 PoyntingFluxPerBSi=4.348533e+05	 LperpTimesSqrtBSi=2.883051e+05 	 realization=[5] 
70	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.7128 	 PoyntingFluxPerBSi=5.427924e+05	 LperpTimesSqrtBSi=1.013417e+05 	 realization=[7] 
71	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.7333 	 PoyntingFluxPerBSi=5.184190e+05	 LperpTimesSqrtBSi=2.754994e+05 	 realization=[9] 
72	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.7946 	 PoyntingFluxPerBSi=5.323467e+05	 LperpTimesSqrtBSi=1.832983e+05 	 realization=[1] 
73	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.7211 	 PoyntingFluxPerBSi=6.263581e+05	 LperpTimesSqrtBSi=3.987429e+04 	 realization=[2] 
74	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=2.0707 	 PoyntingFluxPerBSi=3.164686e+05	 LperpTimesSqrtBSi=5.524114e+04 	 realization=[4] 
75	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.9972 	 PoyntingFluxPerBSi=7.134057e+05	 LperpTimesSqrtBSi=1.615286e+05 	 realization=[7] 
76	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.8438 	 PoyntingFluxPerBSi=5.497562e+05	 LperpTimesSqrtBSi=6.804686e+04 	 realization=[9] 
77	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.9275 	 PoyntingFluxPerBSi=4.696724e+05	 LperpTimesSqrtBSi=1.500034e+05 	 realization=[12]
78	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.9173 	 PoyntingFluxPerBSi=3.095048e+05	 LperpTimesSqrtBSi=2.012263e+05 	 realization=[3] 
79	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.8866 	 PoyntingFluxPerBSi=4.139619e+05	 LperpTimesSqrtBSi=4.499657e+04 	 realization=[7] 
80	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=2.1831 	 PoyntingFluxPerBSi=4.104800e+05	 LperpTimesSqrtBSi=2.204349e+05 	 realization=[8] 
81	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.9889 	 PoyntingFluxPerBSi=3.373600e+05	 LperpTimesSqrtBSi=1.167086e+05 	 realization=[9] 
82	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=2.1013 	 PoyntingFluxPerBSi=3.826248e+05	 LperpTimesSqrtBSi=1.346366e+05 	 realization=[10]
83	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=2.0093 	 PoyntingFluxPerBSi=3.512876e+05	 LperpTimesSqrtBSi=2.947080e+05 	 realization=[12]
84	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=2.0502 	 PoyntingFluxPerBSi=3.930705e+05	 LperpTimesSqrtBSi=2.626937e+05 	 realization=[2] 
85	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.9786 	 PoyntingFluxPerBSi=5.706476e+05	 LperpTimesSqrtBSi=2.486074e+05 	 realization=[5] 
86	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=2.0809 	 PoyntingFluxPerBSi=5.950210e+05	 LperpTimesSqrtBSi=2.050680e+05 	 realization=[7] 
87	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.9991 	 PoyntingFluxPerBSi=6.159124e+05	 LperpTimesSqrtBSi=8.213314e+04 	 realization=[8] 
88	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=2.1422 	 PoyntingFluxPerBSi=4.731543e+05	 LperpTimesSqrtBSi=2.985497e+05 	 realization=[10]
89	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=2.1218 	 PoyntingFluxPerBSi=5.114552e+05	 LperpTimesSqrtBSi=1.192697e+05 	 realization=[11]
90	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.8048 	 PoyntingFluxPerBSi=4.278895e+05	 LperpTimesSqrtBSi=8.853600e+04 	 realization=[4] 
91	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=2.0195 	 PoyntingFluxPerBSi=4.209257e+05	 LperpTimesSqrtBSi=1.807371e+05 	 realization=[5] 
92	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=2.2445 	 PoyntingFluxPerBSi=3.025410e+05	 LperpTimesSqrtBSi=1.845789e+05 	 realization=[6] 
93	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.7742 	 PoyntingFluxPerBSi=3.338781e+05	 LperpTimesSqrtBSi=2.511686e+05 	 realization=[8] 
94	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=2.2547 	 PoyntingFluxPerBSi=3.861067e+05	 LperpTimesSqrtBSi=3.731314e+04 	 realization=[12]
95	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=0.7825 	 PoyntingFluxPerBSi=7.795619e+05	 LperpTimesSqrtBSi=2.498880e+05 	 realization=[1] 
96	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=2.3160 	 PoyntingFluxPerBSi=4.905638e+05	 LperpTimesSqrtBSi=1.295143e+05 	 realization=[6] 
97	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=2.3672 	 PoyntingFluxPerBSi=3.443238e+05	 LperpTimesSqrtBSi=7.444971e+04 	 realization=[7] 
98	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=2.3263 	 PoyntingFluxPerBSi=4.313714e+05	 LperpTimesSqrtBSi=2.409240e+05 	 realization=[11]
99	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=2.3978 	 PoyntingFluxPerBSi=4.592267e+05	 LperpTimesSqrtBSi=1.730537e+05 	 realization=[2] 
100	 map=ADAPT_CR2219.fits 	 model=AWSoM2T 	 FactorB0=1.4572 	 PoyntingFluxPerBSi=5.393105e+05	 LperpTimesSqrtBSi=2.639743e+05 	 realization=[11]
