#CME
# -18.81           BStrength
# T           UseCme
# 0.60           aStretch
# GL           TypeCme
# 0.95           ApexHeight
# 87.50           LongitudeCme
# 0.75           Radius
# 14.50           LatitudeCme
# T           DoAddFluxRope
# 251.57           OrientationCme

 # selected backgrounds = 
selected run IDs = 1-220

#START
ID   params
1 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=1.238356e+05    BrFactor=0.7151    PoyntingFluxPerBSi=5.076149e+05    
2 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=2.165413e+05    BrFactor=0.7271    PoyntingFluxPerBSi=3.051967e+05    
3 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=1.656657e+05    BrFactor=0.7459    PoyntingFluxPerBSi=3.676977e+05    
4 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=1.081121e+05    BrFactor=0.7835    PoyntingFluxPerBSi=4.604455e+05    
5 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=2.071052e+05    BrFactor=0.8041    PoyntingFluxPerBSi=4.046034e+05    
6 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=1.400950e+05    BrFactor=0.8212    PoyntingFluxPerBSi=3.144461e+05    
7 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=2.344140e+05    BrFactor=0.8613    PoyntingFluxPerBSi=3.455279e+05    
8 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=1.281239e+05    BrFactor=0.8872    PoyntingFluxPerBSi=3.904135e+05    
9 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=2.214418e+05    BrFactor=0.9055    PoyntingFluxPerBSi=5.230521e+05    
10 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=1.590971e+05    BrFactor=0.9266    PoyntingFluxPerBSi=4.482435e+05    
11 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=1.995985e+05    BrFactor=0.9524    PoyntingFluxPerBSi=3.254929e+05    
12 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=1.465736e+05    BrFactor=0.9719    PoyntingFluxPerBSi=5.469280e+05    
13 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=1.119791e+05    BrFactor=0.9930    PoyntingFluxPerBSi=3.543068e+05    
14 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=1.880645e+05    BrFactor=1.0151    PoyntingFluxPerBSi=4.244360e+05    
15 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=1.348781e+05    BrFactor=1.0443    PoyntingFluxPerBSi=4.792771e+05    
16 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=2.258780e+05    BrFactor=1.0597    PoyntingFluxPerBSi=3.794785e+05    
17 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=1.759945e+05    BrFactor=1.0809    PoyntingFluxPerBSi=3.004750e+05    
18 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=2.125353e+05    BrFactor=1.1179    PoyntingFluxPerBSi=4.654620e+05    
19 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=1.510818e+05    BrFactor=1.1309    PoyntingFluxPerBSi=3.386795e+05    
20 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=1.691273e+05    BrFactor=1.1585    PoyntingFluxPerBSi=5.141890e+05    
45 restartdir=run006_AWSoM       param=PARAM.in.awsom.cme      BStrength=17.5313    ApexHeight=0.5071    Radius=0.5563    Orientation=259.8950    
46 restartdir=run001_AWSoM       param=PARAM.in.awsom.cme      BStrength=-22.3817    ApexHeight=0.4861    Radius=0.4263    Orientation=217.5950    
47 restartdir=run004_AWSoM       param=PARAM.in.awsom.cme      BStrength=-43.2147    ApexHeight=0.2942    Radius=0.3162    Orientation=278.7950    
48 restartdir=run001_AWSoM       param=PARAM.in.awsom.cme      BStrength=12.8832    ApexHeight=0.6882    Radius=0.6338    Orientation=250.8950    
49 restartdir=run017_AWSoM       param=PARAM.in.awsom.cme      BStrength=-22.6213    ApexHeight=0.5105    Radius=0.5012    Orientation=255.3950    
50 restartdir=run004_AWSoM       param=PARAM.in.awsom.cme      BStrength=-14.6851    ApexHeight=0.8277    Radius=0.7937    Orientation=246.8450    
51 restartdir=run001_AWSoM       param=PARAM.in.awsom.cme      BStrength=-28.6094    ApexHeight=0.5495    Radius=0.5813    Orientation=230.6450    
52 restartdir=run013_AWSoM       param=PARAM.in.awsom.cme      BStrength=-47.4262    ApexHeight=0.4238    Radius=0.3663    Orientation=290.0450    
53 restartdir=run019_AWSoM       param=PARAM.in.awsom.cme      BStrength=30.8957    ApexHeight=0.7732    Radius=0.6512    Orientation=284.6450    
54 restartdir=run017_AWSoM       param=PARAM.in.awsom.cme      BStrength=-15.0568    ApexHeight=0.8027    Radius=0.6687    Orientation=208.1450    
55 restartdir=run008_AWSoM       param=PARAM.in.awsom.cme      BStrength=-25.7061    ApexHeight=0.4214    Radius=0.4288    Orientation=249.0950    
56 restartdir=run008_AWSoM       param=PARAM.in.awsom.cme      BStrength=20.8560    ApexHeight=0.6762    Radius=0.5487    Orientation=270.2450    
57 restartdir=run017_AWSoM       param=PARAM.in.awsom.cme      BStrength=57.1777    ApexHeight=0.3662    Radius=0.3538    Orientation=225.6950    
58 restartdir=run017_AWSoM       param=PARAM.in.awsom.cme      BStrength=-17.7607    ApexHeight=0.3983    Radius=0.4537    Orientation=230.1950    
59 restartdir=run004_AWSoM       param=PARAM.in.awsom.cme      BStrength=11.9114    ApexHeight=0.8992    Radius=0.7388    Orientation=276.5450    
60 restartdir=run013_AWSoM       param=PARAM.in.awsom.cme      BStrength=14.2469    ApexHeight=0.8382    Radius=0.7588    Orientation=286.4450    
61 restartdir=run014_AWSoM       param=PARAM.in.awsom.cme      BStrength=-40.3035    ApexHeight=0.6684    Radius=0.6987    Orientation=268.8950    
62 restartdir=run008_AWSoM       param=PARAM.in.awsom.cme      BStrength=18.2719    ApexHeight=0.6814    Radius=0.7538    Orientation=262.5950    
63 restartdir=run013_AWSoM       param=PARAM.in.awsom.cme      BStrength=-25.3639    ApexHeight=0.4904    Radius=0.4763    Orientation=266.6450    
64 restartdir=run016_AWSoM       param=PARAM.in.awsom.cme      BStrength=-13.2852    ApexHeight=0.6397    Radius=0.6863    Orientation=277.8950    
65 restartdir=run016_AWSoM       param=PARAM.in.awsom.cme      BStrength=-24.0515    ApexHeight=0.4377    Radius=0.4363    Orientation=239.6450    
66 restartdir=run014_AWSoM       param=PARAM.in.awsom.cme      BStrength=-31.4798    ApexHeight=0.5930    Radius=0.5887    Orientation=294.5450    
67 restartdir=run010_AWSoM       param=PARAM.in.awsom.cme      BStrength=-29.5283    ApexHeight=0.4801    Radius=0.4163    Orientation=285.0950    
68 restartdir=run006_AWSoM       param=PARAM.in.awsom.cme      BStrength=-38.7524    ApexHeight=0.3188    Radius=0.3063    Orientation=271.5950    
69 restartdir=run001_AWSoM       param=PARAM.in.awsom.cme      BStrength=42.8073    ApexHeight=0.4393    Radius=0.3638    Orientation=240.9950    
70 restartdir=run019_AWSoM       param=PARAM.in.awsom.cme      BStrength=41.1894    ApexHeight=0.2878    Radius=0.3113    Orientation=222.5450    
71 restartdir=run004_AWSoM       param=PARAM.in.awsom.cme      BStrength=27.6052    ApexHeight=0.4718    Radius=0.4338    Orientation=294.9950    
72 restartdir=run004_AWSoM       param=PARAM.in.awsom.cme      BStrength=43.1315    ApexHeight=0.4199    Radius=0.3488    Orientation=261.2450    
73 restartdir=run016_AWSoM       param=PARAM.in.awsom.cme      BStrength=-25.7976    ApexHeight=0.5683    Radius=0.4888    Orientation=273.3950    
74 restartdir=run016_AWSoM       param=PARAM.in.awsom.cme      BStrength=-17.9775    ApexHeight=0.8305    Radius=0.7837    Orientation=260.7950    
75 restartdir=run019_AWSoM       param=PARAM.in.awsom.cme      BStrength=45.3625    ApexHeight=0.4011    Radius=0.3713    Orientation=208.5950    
76 restartdir=run004_AWSoM       param=PARAM.in.awsom.cme      BStrength=20.9811    ApexHeight=0.7267    Radius=0.6362    Orientation=211.7450    
77 restartdir=run016_AWSoM       param=PARAM.in.awsom.cme      BStrength=22.5172    ApexHeight=0.5211    Radius=0.5787    Orientation=246.3950    
78 restartdir=run019_AWSoM       param=PARAM.in.awsom.cme      BStrength=26.6564    ApexHeight=0.4469    Radius=0.4412    Orientation=264.3950    
79 restartdir=run006_AWSoM       param=PARAM.in.awsom.cme      BStrength=30.7094    ApexHeight=0.4756    Radius=0.4313    Orientation=242.7950    
80 restartdir=run006_AWSoM       param=PARAM.in.awsom.cme      BStrength=-19.3467    ApexHeight=0.6881    Radius=0.7338    Orientation=286.8950    
81 restartdir=run013_AWSoM       param=PARAM.in.awsom.cme      BStrength=-38.8593    ApexHeight=0.3371    Radius=0.3463    Orientation=224.7950    
82 restartdir=run004_AWSoM       param=PARAM.in.awsom.cme      BStrength=-31.7019    ApexHeight=0.5500    Radius=0.5513    Orientation=270.6950    
83 restartdir=run013_AWSoM       param=PARAM.in.awsom.cme      BStrength=19.2566    ApexHeight=0.8321    Radius=0.6713    Orientation=252.2450    
84 restartdir=run010_AWSoM       param=PARAM.in.awsom.cme      BStrength=-28.4588    ApexHeight=0.4624    Radius=0.5062    Orientation=237.8450    
85 restartdir=run014_AWSoM       param=PARAM.in.awsom.cme      BStrength=14.7621    ApexHeight=0.5527    Radius=0.5387    Orientation=219.3950    
86 restartdir=run016_AWSoM       param=PARAM.in.awsom.cme      BStrength=-32.8076    ApexHeight=0.6615    Radius=0.7488    Orientation=269.3450    
87 restartdir=run001_AWSoM       param=PARAM.in.awsom.cme      BStrength=79.2273    ApexHeight=0.3397    Radius=0.3287    Orientation=212.6450    
88 restartdir=run019_AWSoM       param=PARAM.in.awsom.cme      BStrength=-36.0250    ApexHeight=0.8297    Radius=0.7113    Orientation=262.1450    
89 restartdir=run001_AWSoM       param=PARAM.in.awsom.cme      BStrength=-18.2784    ApexHeight=0.8600    Radius=0.7188    Orientation=227.4950    
90 restartdir=run004_AWSoM       param=PARAM.in.awsom.cme      BStrength=17.2094    ApexHeight=0.5645    Radius=0.5913    Orientation=252.6950    
91 restartdir=run017_AWSoM       param=PARAM.in.awsom.cme      BStrength=36.8586    ApexHeight=0.3744    Radius=0.3937    Orientation=244.5950    
92 restartdir=run017_AWSoM       param=PARAM.in.awsom.cme      BStrength=28.8146    ApexHeight=0.6916    Radius=0.5587    Orientation=287.7950    
93 restartdir=run001_AWSoM       param=PARAM.in.awsom.cme      BStrength=-32.8127    ApexHeight=0.4781    Radius=0.4487    Orientation=285.5450    
94 restartdir=run010_AWSoM       param=PARAM.in.awsom.cme      BStrength=33.4611    ApexHeight=0.6692    Radius=0.6488    Orientation=229.2950    
95 restartdir=run014_AWSoM       param=PARAM.in.awsom.cme      BStrength=20.4815    ApexHeight=0.8459    Radius=0.7913    Orientation=258.0950    
96 restartdir=run016_AWSoM       param=PARAM.in.awsom.cme      BStrength=40.8615    ApexHeight=0.3644    Radius=0.3862    Orientation=267.0950    
97 restartdir=run010_AWSoM       param=PARAM.in.awsom.cme      BStrength=18.9994    ApexHeight=0.8607    Radius=0.7137    Orientation=274.7450    
98 restartdir=run008_AWSoM       param=PARAM.in.awsom.cme      BStrength=42.5323    ApexHeight=0.3443    Radius=0.3362    Orientation=234.2450    
99 restartdir=run010_AWSoM       param=PARAM.in.awsom.cme      BStrength=18.2281    ApexHeight=0.5837    Radius=0.6162    Orientation=257.6450    
100 restartdir=run001_AWSoM       param=PARAM.in.awsom.cme      BStrength=23.9516    ApexHeight=0.5057    Radius=0.5088    Orientation=207.6950    
101 restartdir=run010_AWSoM       param=PARAM.in.awsom.cme      BStrength=-29.6480    ApexHeight=0.6553    Radius=0.5537    Orientation=213.5450    
102 restartdir=run017_AWSoM       param=PARAM.in.awsom.cme      BStrength=23.1681    ApexHeight=0.5077    Radius=0.4437    Orientation=295.8950    
103 restartdir=run019_AWSoM       param=PARAM.in.awsom.cme      BStrength=-12.4174    ApexHeight=0.7271    Radius=0.7512    Orientation=250.4450    
104 restartdir=run008_AWSoM       param=PARAM.in.awsom.cme      BStrength=-16.8423    ApexHeight=0.4711    Radius=0.5288    Orientation=226.1450    
105 restartdir=run014_AWSoM       param=PARAM.in.awsom.cme      BStrength=-20.8349    ApexHeight=0.3768    Radius=0.3513    Orientation=289.5950    
106 restartdir=run001_AWSoM       param=PARAM.in.awsom.cme      BStrength=-37.2583    ApexHeight=0.3130    Radius=0.3412    Orientation=261.6950    
107 restartdir=run004_AWSoM       param=PARAM.in.awsom.cme      BStrength=27.2377    ApexHeight=0.6230    Radius=0.7037    Orientation=259.4450    
108 restartdir=run010_AWSoM       param=PARAM.in.awsom.cme      BStrength=49.2432    ApexHeight=0.3386    Radius=0.3312    Orientation=294.0950    
109 restartdir=run013_AWSoM       param=PARAM.in.awsom.cme      BStrength=-52.8505    ApexHeight=0.5113    Radius=0.4188    Orientation=258.9950    
110 restartdir=run016_AWSoM       param=PARAM.in.awsom.cme      BStrength=29.0480    ApexHeight=0.7816    Radius=0.6563    Orientation=263.0450    
111 restartdir=run014_AWSoM       param=PARAM.in.awsom.cme      BStrength=23.1586    ApexHeight=0.7411    Radius=0.6312    Orientation=281.0450    
112 restartdir=run019_AWSoM       param=PARAM.in.awsom.cme      BStrength=54.4346    ApexHeight=0.5499    Radius=0.5038    Orientation=275.6450    
113 restartdir=run014_AWSoM       param=PARAM.in.awsom.cme      BStrength=-20.7211    ApexHeight=0.6715    Radius=0.7412    Orientation=213.9950    
114 restartdir=run017_AWSoM       param=PARAM.in.awsom.cme      BStrength=-24.3573    ApexHeight=0.6953    Radius=0.6262    Orientation=233.7950    
115 restartdir=run014_AWSoM       param=PARAM.in.awsom.cme      BStrength=52.9166    ApexHeight=0.2919    Radius=0.3262    Orientation=266.1950    
116 restartdir=run006_AWSoM       param=PARAM.in.awsom.cme      BStrength=50.0749    ApexHeight=0.3750    Radius=0.3912    Orientation=276.0950    
117 restartdir=run008_AWSoM       param=PARAM.in.awsom.cme      BStrength=-74.9497    ApexHeight=0.2837    Radius=0.3038    Orientation=265.2950    
118 restartdir=run014_AWSoM       param=PARAM.in.awsom.cme      BStrength=44.8319    ApexHeight=0.5296    Radius=0.5763    Orientation=240.5450    
119 restartdir=run006_AWSoM       param=PARAM.in.awsom.cme      BStrength=-40.5053    ApexHeight=0.4246    Radius=0.3688    Orientation=209.9450    
120 restartdir=run008_AWSoM       param=PARAM.in.awsom.cme      BStrength=34.0328    ApexHeight=0.7140    Radius=0.7063    Orientation=251.3450    
121 restartdir=run010_AWSoM       param=PARAM.in.awsom.cme      BStrength=24.1269    ApexHeight=0.6705    Radius=0.7462    Orientation=219.8450    
122 restartdir=run014_AWSoM       param=PARAM.in.awsom.cme      BStrength=-44.3441    ApexHeight=0.4568    Radius=0.4012    Orientation=222.9950    
123 restartdir=run019_AWSoM       param=PARAM.in.awsom.cme      BStrength=-37.3867    ApexHeight=0.4768    Radius=0.4788    Orientation=296.3450    
124 restartdir=run004_AWSoM       param=PARAM.in.awsom.cme      BStrength=-22.3273    ApexHeight=0.9110    Radius=0.7638    Orientation=228.3950    
125 restartdir=run016_AWSoM       param=PARAM.in.awsom.cme      BStrength=48.7533    ApexHeight=0.5423    Radius=0.4387    Orientation=282.3950    
126 restartdir=run008_AWSoM       param=PARAM.in.awsom.cme      BStrength=-23.5823    ApexHeight=0.6255    Radius=0.6737    Orientation=212.1950    
127 restartdir=run008_AWSoM       param=PARAM.in.awsom.cme      BStrength=-19.3325    ApexHeight=0.7517    Radius=0.6412    Orientation=231.0950    
128 restartdir=run016_AWSoM       param=PARAM.in.awsom.cme      BStrength=-81.2752    ApexHeight=0.3735    Radius=0.3088    Orientation=256.7450    
129 restartdir=run019_AWSoM       param=PARAM.in.awsom.cme      BStrength=-23.5873    ApexHeight=0.5708    Radius=0.6288    Orientation=267.9950    
130 restartdir=run014_AWSoM       param=PARAM.in.awsom.cme      BStrength=41.1854    ApexHeight=0.5426    Radius=0.4963    Orientation=247.7450    
131 restartdir=run014_AWSoM       param=PARAM.in.awsom.cme      BStrength=-24.1242    ApexHeight=0.5666    Radius=0.4612    Orientation=263.4950    
132 restartdir=run008_AWSoM       param=PARAM.in.awsom.cme      BStrength=53.4291    ApexHeight=0.5379    Radius=0.5112    Orientation=220.7450    
133 restartdir=run004_AWSoM       param=PARAM.in.awsom.cme      BStrength=-46.2388    ApexHeight=0.4942    Radius=0.3962    Orientation=289.1450    
134 restartdir=run010_AWSoM       param=PARAM.in.awsom.cme      BStrength=83.3825    ApexHeight=0.3007    Radius=0.3212    Orientation=215.3450    
135 restartdir=run008_AWSoM       param=PARAM.in.awsom.cme      BStrength=31.3075    ApexHeight=0.5705    Radius=0.5988    Orientation=240.0950    
136 restartdir=run013_AWSoM       param=PARAM.in.awsom.cme      BStrength=-26.0006    ApexHeight=0.7962    Radius=0.7087    Orientation=217.1450    
137 restartdir=run013_AWSoM       param=PARAM.in.awsom.cme      BStrength=-36.0183    ApexHeight=0.4225    Radius=0.4587    Orientation=207.2450    
138 restartdir=run010_AWSoM       param=PARAM.in.awsom.cme      BStrength=-14.7117    ApexHeight=0.6427    Radius=0.5837    Orientation=268.4450    
139 restartdir=run006_AWSoM       param=PARAM.in.awsom.cme      BStrength=56.3738    ApexHeight=0.2766    Radius=0.3137    Orientation=236.9450    
140 restartdir=run004_AWSoM       param=PARAM.in.awsom.cme      BStrength=-47.6968    ApexHeight=0.4085    Radius=0.4462    Orientation=218.0450    
141 restartdir=run017_AWSoM       param=PARAM.in.awsom.cme      BStrength=25.7480    ApexHeight=0.7830    Radius=0.7362    Orientation=249.5450    
142 restartdir=run004_AWSoM       param=PARAM.in.awsom.cme      BStrength=37.3006    ApexHeight=0.6547    Radius=0.5337    Orientation=245.4950    
143 restartdir=run010_AWSoM       param=PARAM.in.awsom.cme      BStrength=-28.4987    ApexHeight=0.6669    Radius=0.6837    Orientation=282.8450    
144 restartdir=run006_AWSoM       param=PARAM.in.awsom.cme      BStrength=-26.5505    ApexHeight=0.7006    Radius=0.6462    Orientation=254.9450    
145 restartdir=run006_AWSoM       param=PARAM.in.awsom.cme      BStrength=-58.5517    ApexHeight=0.5011    Radius=0.4738    Orientation=292.2950    
146 restartdir=run013_AWSoM       param=PARAM.in.awsom.cme      BStrength=-39.2396    ApexHeight=0.5064    Radius=0.5262    Orientation=293.6450    
147 restartdir=run008_AWSoM       param=PARAM.in.awsom.cme      BStrength=23.0431    ApexHeight=0.8676    Radius=0.7262    Orientation=283.2950    
148 restartdir=run001_AWSoM       param=PARAM.in.awsom.cme      BStrength=39.0695    ApexHeight=0.4763    Radius=0.5313    Orientation=243.6950    
149 restartdir=run017_AWSoM       param=PARAM.in.awsom.cme      BStrength=-32.3574    ApexHeight=0.5869    Radius=0.6088    Orientation=264.8450    
150 restartdir=run014_AWSoM       param=PARAM.in.awsom.cme      BStrength=-35.4578    ApexHeight=0.7356    Radius=0.6062    Orientation=231.5450    
151 restartdir=run013_AWSoM       param=PARAM.in.awsom.cme      BStrength=42.4639    ApexHeight=0.5715    Radius=0.4988    Orientation=227.0450    
152 restartdir=run001_AWSoM       param=PARAM.in.awsom.cme      BStrength=26.2947    ApexHeight=0.7002    Radius=0.6887    Orientation=263.9450    
153 restartdir=run017_AWSoM       param=PARAM.in.awsom.cme      BStrength=37.2089    ApexHeight=0.6652    Radius=0.5863    Orientation=210.8450    
154 restartdir=run001_AWSoM       param=PARAM.in.awsom.cme      BStrength=-33.3086    ApexHeight=0.6970    Radius=0.6613    Orientation=222.0950    
155 restartdir=run016_AWSoM       param=PARAM.in.awsom.cme      BStrength=55.4794    ApexHeight=0.4280    Radius=0.4637    Orientation=213.0950    
156 restartdir=run010_AWSoM       param=PARAM.in.awsom.cme      BStrength=-44.3940    ApexHeight=0.6167    Radius=0.4938    Orientation=278.3450    
157 restartdir=run006_AWSoM       param=PARAM.in.awsom.cme      BStrength=21.5973    ApexHeight=0.3456    Radius=0.3438    Orientation=228.8450    
158 restartdir=run010_AWSoM       param=PARAM.in.awsom.cme      BStrength=-52.9155    ApexHeight=0.4316    Radius=0.3563    Orientation=244.1450    
159 restartdir=run001_AWSoM       param=PARAM.in.awsom.cme      BStrength=-32.7444    ApexHeight=0.7520    Radius=0.6112    Orientation=290.4950    
