selected run IDs = 1-100
#START
ID        params
1	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.1125 	 PoyntingFluxPerBSi=6.988978e+05	 LperpTimesSqrtBSi=2.754969e+05 	 realization=[2] 
12	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=0.8325 	 PoyntingFluxPerBSi=7.174679e+05	 LperpTimesSqrtBSi=2.729460e+05 	 realization=[7] 
13	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=0.8529 	 PoyntingFluxPerBSi=5.201600e+05	 LperpTimesSqrtBSi=2.805986e+05 	 realization=[10]
14	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=0.8803 	 PoyntingFluxPerBSi=4.551644e+05	 LperpTimesSqrtBSi=2.193780e+05 	 realization=[2] 
15	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=0.9486 	 PoyntingFluxPerBSi=5.178387e+05	 LperpTimesSqrtBSi=1.232957e+05 	 realization=[9] 
16	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=0.9349 	 PoyntingFluxPerBSi=6.664000e+05	 LperpTimesSqrtBSi=2.482877e+05 	 realization=[10]
17	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=2.6628 	 PoyntingFluxPerBSi=3.274946e+05	 LperpTimesSqrtBSi=1.692111e+05 	 realization=[11]
18	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=0.9281 	 PoyntingFluxPerBSi=3.785625e+05	 LperpTimesSqrtBSi=2.593414e+05 	 realization=[12]
19	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=0.9827 	 PoyntingFluxPerBSi=6.106895e+05	 LperpTimesSqrtBSi=2.236294e+05 	 realization=[7] 
20	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.0032 	 PoyntingFluxPerBSi=5.410514e+05	 LperpTimesSqrtBSi=1.632591e+05 	 realization=[8] 
21	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.0100 	 PoyntingFluxPerBSi=4.249879e+05	 LperpTimesSqrtBSi=2.712454e+05 	 realization=[9] 
22	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.0442 	 PoyntingFluxPerBSi=3.298159e+05	 LperpTimesSqrtBSi=1.785643e+05 	 realization=[2] 
23	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.0647 	 PoyntingFluxPerBSi=5.224813e+05	 LperpTimesSqrtBSi=2.210786e+05 	 realization=[5] 
24	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.0851 	 PoyntingFluxPerBSi=4.621283e+05	 LperpTimesSqrtBSi=1.420020e+05 	 realization=[8] 
25	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.1330 	 PoyntingFluxPerBSi=4.342730e+05	 LperpTimesSqrtBSi=2.389346e+05 	 realization=[12]
26	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=0.5524 	 PoyntingFluxPerBSi=6.849702e+05	 LperpTimesSqrtBSi=2.865506e+05 	 realization=[3] 
27	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.1466 	 PoyntingFluxPerBSi=5.480152e+05	 LperpTimesSqrtBSi=1.071403e+05 	 realization=[4] 
28	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.1876 	 PoyntingFluxPerBSi=6.292597e+05	 LperpTimesSqrtBSi=1.726123e+05 	 realization=[5] 
29	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.1739 	 PoyntingFluxPerBSi=4.064178e+05	 LperpTimesSqrtBSi=1.590077e+05 	 realization=[9] 
30	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.1398 	 PoyntingFluxPerBSi=3.623137e+05	 LperpTimesSqrtBSi=2.908020e+05 	 realization=[11]
31	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.1944 	 PoyntingFluxPerBSi=3.112457e+05	 LperpTimesSqrtBSi=1.207449e+05 	 realization=[12]
32	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.2012 	 PoyntingFluxPerBSi=5.108749e+05	 LperpTimesSqrtBSi=2.661437e+05 	 realization=[1] 
33	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.2149 	 PoyntingFluxPerBSi=6.547937e+05	 LperpTimesSqrtBSi=2.372340e+05 	 realization=[3] 
34	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.2217 	 PoyntingFluxPerBSi=3.762413e+05	 LperpTimesSqrtBSi=2.244797e+05 	 realization=[8] 
35	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.2559 	 PoyntingFluxPerBSi=4.899835e+05	 LperpTimesSqrtBSi=2.151266e+05 	 realization=[9] 
36	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=0.6139 	 PoyntingFluxPerBSi=5.433727e+05	 LperpTimesSqrtBSi=2.703951e+05 	 realization=[11]
37	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.2832 	 PoyntingFluxPerBSi=4.737346e+05	 LperpTimesSqrtBSi=1.666603e+05 	 realization=[2] 
38	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.3242 	 PoyntingFluxPerBSi=4.806984e+05	 LperpTimesSqrtBSi=2.346831e+05 	 realization=[7] 
39	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.3447 	 PoyntingFluxPerBSi=6.130108e+05	 LperpTimesSqrtBSi=2.925026e+05 	 realization=[10]
40	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.3105 	 PoyntingFluxPerBSi=3.971327e+05	 LperpTimesSqrtBSi=1.760134e+05 	 realization=[1] 
41	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.3993 	 PoyntingFluxPerBSi=5.039111e+05	 LperpTimesSqrtBSi=1.530557e+05 	 realization=[6] 
42	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=2.3418 	 PoyntingFluxPerBSi=3.228521e+05	 LperpTimesSqrtBSi=1.266969e+05 	 realization=[8] 
43	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.4266 	 PoyntingFluxPerBSi=3.855263e+05	 LperpTimesSqrtBSi=2.414854e+05 	 realization=[10]
44	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.9525 	 PoyntingFluxPerBSi=4.087390e+05	 LperpTimesSqrtBSi=9.523629e+04 	 realization=[11]
45	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.4608 	 PoyntingFluxPerBSi=5.596216e+05	 LperpTimesSqrtBSi=1.275471e+05 	 realization=[3] 
46	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.4676 	 PoyntingFluxPerBSi=4.435581e+05	 LperpTimesSqrtBSi=2.066237e+05 	 realization=[4] 
47	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.5222 	 PoyntingFluxPerBSi=6.640787e+05	 LperpTimesSqrtBSi=2.797483e+05 	 realization=[6] 
48	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.4881 	 PoyntingFluxPerBSi=5.758705e+05	 LperpTimesSqrtBSi=2.516889e+05 	 realization=[8] 
49	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.5017 	 PoyntingFluxPerBSi=3.460648e+05	 LperpTimesSqrtBSi=1.981209e+05 	 realization=[9] 
50	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.5086 	 PoyntingFluxPerBSi=6.408660e+05	 LperpTimesSqrtBSi=1.802649e+05 	 realization=[10]
51	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.3925 	 PoyntingFluxPerBSi=4.157029e+05	 LperpTimesSqrtBSi=2.814489e+05 	 realization=[12]
52	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.5359 	 PoyntingFluxPerBSi=3.042819e+05	 LperpTimesSqrtBSi=2.474374e+05 	 realization=[2] 
53	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.5564 	 PoyntingFluxPerBSi=4.319517e+05	 LperpTimesSqrtBSi=1.462534e+05 	 realization=[5] 
54	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.5632 	 PoyntingFluxPerBSi=5.317663e+05	 LperpTimesSqrtBSi=2.431860e+05 	 realization=[6] 
55	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.5769 	 PoyntingFluxPerBSi=4.528432e+05	 LperpTimesSqrtBSi=2.891014e+05 	 realization=[8] 
56	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=2.5057 	 PoyntingFluxPerBSi=4.505219e+05	 LperpTimesSqrtBSi=1.853666e+05 	 realization=[10]
57	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.6247 	 PoyntingFluxPerBSi=3.414222e+05	 LperpTimesSqrtBSi=2.695449e+05 	 realization=[3] 
58	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.6315 	 PoyntingFluxPerBSi=5.387302e+05	 LperpTimesSqrtBSi=1.819654e+05 	 realization=[4] 
59	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.6725 	 PoyntingFluxPerBSi=5.085537e+05	 LperpTimesSqrtBSi=1.164934e+05 	 realization=[5] 
60	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.6793 	 PoyntingFluxPerBSi=3.692775e+05	 LperpTimesSqrtBSi=1.505049e+05 	 realization=[11]
61	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.6930 	 PoyntingFluxPerBSi=5.967619e+05	 LperpTimesSqrtBSi=2.737963e+05 	 realization=[1] 
62	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.7066 	 PoyntingFluxPerBSi=6.478298e+05	 LperpTimesSqrtBSi=2.023723e+05 	 realization=[3] 
63	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.7203 	 PoyntingFluxPerBSi=3.251733e+05	 LperpTimesSqrtBSi=2.550900e+05 	 realization=[5] 
64	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.7476 	 PoyntingFluxPerBSi=4.923048e+05	 LperpTimesSqrtBSi=1.300980e+05 	 realization=[8] 
65	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.8159 	 PoyntingFluxPerBSi=5.828343e+05	 LperpTimesSqrtBSi=2.168271e+05 	 realization=[12]
66	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=2.1164 	 PoyntingFluxPerBSi=3.437435e+05	 LperpTimesSqrtBSi=1.437026e+05 	 realization=[1] 
67	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.7886 	 PoyntingFluxPerBSi=4.667708e+05	 LperpTimesSqrtBSi=1.743129e+05 	 realization=[3] 
68	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.4471 	 PoyntingFluxPerBSi=3.135670e+05	 LperpTimesSqrtBSi=2.125757e+05 	 realization=[7] 
69	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.8227 	 PoyntingFluxPerBSi=6.431873e+05	 LperpTimesSqrtBSi=2.669940e+05 	 realization=[8] 
70	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.9115 	 PoyntingFluxPerBSi=3.901689e+05	 LperpTimesSqrtBSi=1.845163e+05 	 realization=[12]
71	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.8705 	 PoyntingFluxPerBSi=3.344584e+05	 LperpTimesSqrtBSi=2.423357e+05 	 realization=[4] 
72	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=0.9144 	 PoyntingFluxPerBSi=4.969473e+05	 LperpTimesSqrtBSi=1.938694e+05 	 realization=[7] 
73	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.8501 	 PoyntingFluxPerBSi=4.365943e+05	 LperpTimesSqrtBSi=2.270306e+05 	 realization=[9] 
74	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.9388 	 PoyntingFluxPerBSi=5.294451e+05	 LperpTimesSqrtBSi=1.139426e+05 	 realization=[1] 
75	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.9935 	 PoyntingFluxPerBSi=5.573003e+05	 LperpTimesSqrtBSi=2.831494e+05 	 realization=[2] 
76	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.3788 	 PoyntingFluxPerBSi=3.391010e+05	 LperpTimesSqrtBSi=9.608657e+04 	 realization=[5] 
77	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.9866 	 PoyntingFluxPerBSi=6.153321e+05	 LperpTimesSqrtBSi=1.870671e+05 	 realization=[8] 
78	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=2.0481 	 PoyntingFluxPerBSi=3.994540e+05	 LperpTimesSqrtBSi=2.771974e+05 	 realization=[5] 
79	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=2.0618 	 PoyntingFluxPerBSi=3.715987e+05	 LperpTimesSqrtBSi=1.292477e+05 	 realization=[6] 
80	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=2.0549 	 PoyntingFluxPerBSi=4.412368e+05	 LperpTimesSqrtBSi=1.615586e+05 	 realization=[7] 
81	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=0.7778 	 PoyntingFluxPerBSi=6.199746e+05	 LperpTimesSqrtBSi=2.457369e+05 	 realization=[8] 
82	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=2.1232 	 PoyntingFluxPerBSi=4.760559e+05	 LperpTimesSqrtBSi=2.202283e+05 	 realization=[4] 
83	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=2.1437 	 PoyntingFluxPerBSi=5.456940e+05	 LperpTimesSqrtBSi=2.525391e+05 	 realization=[7] 
84	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=2.1506 	 PoyntingFluxPerBSi=4.133816e+05	 LperpTimesSqrtBSi=1.717620e+05 	 realization=[8] 
85	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=2.1779 	 PoyntingFluxPerBSi=4.482006e+05	 LperpTimesSqrtBSi=2.559403e+05 	 realization=[12]
86	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=2.2188 	 PoyntingFluxPerBSi=4.226667e+05	 LperpTimesSqrtBSi=2.338329e+05 	 realization=[6] 
87	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=2.2530 	 PoyntingFluxPerBSi=3.553498e+05	 LperpTimesSqrtBSi=2.074740e+05 	 realization=[11]
88	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=2.2871 	 PoyntingFluxPerBSi=3.089244e+05	 LperpTimesSqrtBSi=1.751631e+05 	 realization=[4] 
89	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=2.3076 	 PoyntingFluxPerBSi=3.483860e+05	 LperpTimesSqrtBSi=2.848500e+05 	 realization=[7] 
90	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=2.2325 	 PoyntingFluxPerBSi=3.367797e+05	 LperpTimesSqrtBSi=8.078143e+04 	 realization=[10]
91	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=2.3008 	 PoyntingFluxPerBSi=4.273092e+05	 LperpTimesSqrtBSi=1.028889e+05 	 realization=[12]
92	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=2.3486 	 PoyntingFluxPerBSi=3.669562e+05	 LperpTimesSqrtBSi=2.601917e+05 	 realization=[1] 
93	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=2.3828 	 PoyntingFluxPerBSi=4.644495e+05	 LperpTimesSqrtBSi=2.652934e+05 	 realization=[2] 
94	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=2.3759 	 PoyntingFluxPerBSi=3.832051e+05	 LperpTimesSqrtBSi=1.573071e+05 	 realization=[5] 
95	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=2.4920 	 PoyntingFluxPerBSi=4.830197e+05	 LperpTimesSqrtBSi=2.874009e+05 	 realization=[6] 
96	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=2.4442 	 PoyntingFluxPerBSi=3.739200e+05	 LperpTimesSqrtBSi=1.921689e+05 	 realization=[3] 
97	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=2.5193 	 PoyntingFluxPerBSi=3.158883e+05	 LperpTimesSqrtBSi=2.006717e+05 	 realization=[2] 
98	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=2.5535 	 PoyntingFluxPerBSi=4.110603e+05	 LperpTimesSqrtBSi=2.440363e+05 	 realization=[7] 
99	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=2.5740 	 PoyntingFluxPerBSi=3.576711e+05	 LperpTimesSqrtBSi=1.130923e+05 	 realization=[10]
100	 map=ADAPT_CR2140.fits 	 model=AWSoM2T 	 FactorB0=1.9662 	 PoyntingFluxPerBSi=4.203454e+05	 LperpTimesSqrtBSi=2.942031e+05 	 realization=[3] 
