"","RelativeStrength","CmeRadius","DeltaOrientation","ApexCoeff","Helicity"
"135",1.77875,0.63375,29.025,0.9753125,1
"136",1.47875,0.48625,-14.625,1.1496875,-1
"137",1.69625,0.52625,-41.175,1.1346875,-1
"138",0.58625,0.64625,14.175,0.9265625,-1
"139",1.60625,0.52125,22.275,0.9865625,-1
"140",1.00625,0.53875,10.575,1.1571875,-1
"141",1.67375,0.70125,-18.675,1.1196875,1
"142",1.02125,0.58625,27.225,1.2115625,1
"143",1.35875,0.59875,2.925,1.2321875,-1
"144",0.78875,0.37125,-10.575,1.2190625,1
"145",1.81625,0.62875,-5.175,1.1890625,-1
"146",0.99875,0.31125,-22.725,1.0803125,-1
"147",1.71125,0.72375,-1.575,1.2490625,-1
"148",1.92125,0.32125,24.975,0.9603125,-1
"149",0.69875,0.46125,23.625,0.9490625,-1
"150",0.54125,0.74875,-9.225,1.0446875,-1
"151",1.22375,0.71375,-39.375,0.9959375,1
"152",0.94625,0.71625,-11.475,0.9040625,1
"153",0.90875,0.39125,-42.975,1.1215625,-1
"154",0.96875,0.56375,20.925,1.0334375,1
"155",1.74875,0.43375,43.425,1.0184375,1
"156",1.83875,0.68875,9.225,1.1009375,1
"157",1.44125,0.61625,-17.775,0.8834375,-1
"158",1.20875,0.78875,42.525,1.0521875,1
"159",0.92375,0.54125,-0.674999999999997,0.9453125,1
"160",1.56125,0.41375,44.775,1.0971875,-1
"161",1.38125,0.55125,12.375,1.0784375,1
"162",1.99625,0.44375,19.575,1.0765625,1
"163",1.94375,0.70625,13.275,0.9790625,-1
"164",0.78125,0.44625,-24.075,0.8796875,1
"165",1.98125,0.67375,-15.525,1.2209375,1
"166",1.83125,0.34125,41.625,0.9003125,-1
"167",1.97375,0.36125,27.675,1.1590625,1
"168",1.03625,0.33875,-6.975,1.1928125,-1
"169",0.72125,0.79375,-27.675,1.0878125,-1
"170",1.32875,0.73125,-12.825,1.0728125,-1
"171",1.66625,0.42375,2.025,1.1646875,-1
"172",1.34375,0.69625,16.425,0.8928125,1
"173",1.80875,0.38625,-8.775,1.0353125,1
"174",1.45625,0.35125,11.475,1.1121875,-1
"175",1.65875,0.62375,-43.425,1.0034375,1
"176",1.26875,0.47625,12.825,0.9978125,-1
"177",1.32125,0.64875,-42.075,1.2134375,1
"178",1.52375,0.36875,-29.925,1.2246875,-1
"179",1.50875,0.39625,34.425,0.8815625,-1
"180",1.59125,0.79625,-31.725,0.9771875,-1
"181",1.13375,0.51875,-32.175,1.2059375,-1
"182",1.41125,0.49875,-6.075,1.2153125,1
"183",1.40375,0.79875,24.075,1.1028125,-1
"184",1.41875,0.66625,10.125,0.9659375,1
"185",1.55375,0.58125,-34.875,1.1046875,1
"186",1.20125,0.60875,25.875,0.9528125,1
"187",0.66875,0.60375,-2.025,1.0953125,1
"188",0.50375,0.77125,20.475,0.9078125,1
"189",0.63875,0.77875,-17.325,1.2078125,-1
"190",1.96625,0.60125,-25.875,0.9884375,1
"191",1.39625,0.50625,32.175,0.9359375,1
"192",1.72625,0.35375,-38.025,1.0746875,1
"193",1.08875,0.66875,43.875,0.9434375,-1
"194",0.81125,0.69125,24.525,0.9340625,1
"195",0.89375,0.44125,28.125,0.9171875,1
"196",0.74375,0.70875,-26.325,1.2021875,1
"197",0.62375,0.62625,30.825,1.0409375,-1
"198",0.64625,0.45125,8.77500000000001,1.1853125,-1
"199",1.14125,0.68625,-1.125,1.0390625,-1
"200",0.60125,0.54875,-6.525,1.1328125,-1
